Run Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Emission Reduction,0,0.050789984,0.103304182,0.155913032,0.208332102,0.260846776,0.313360023,0.365826181,0.418768453,0.470901666,0.523415864,0.575929634,0.628443594,0.680957554,0.733471467,0.785985427,0.838499387,0.891013348,0.943527308,0.956656756,0.969981535,0.969784293,0.982912785,0.993522082,0.996041273
Diesel,2.056640173,1.957312588,1.870868237,1.784268078,1.697980318,1.611535185,1.5250924,1.438727127,1.351578118,1.265672362,1.176422236,1.080430611,0.968534599,0.802397669,0.52818188,0.170944102,0.170944102,0.123221303,0,0,0,0,0,0,0
Biofuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014788248,0,0,0,0,0,0,0
Methanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10101991,0.475648352,0.835422923,1.330786503,1.600194451,0.902249882,0.910578586,0.403815417,0,0
Ammonia,0,0.082560081,0.169004432,0.255604591,0.341892351,0.428337484,0.514780269,0.601145542,0.688294551,0.774200307,0.863450433,0.959442058,1.07133807,1.237475,1.509227999,1.746944397,1.372315955,1.034042399,0.555111497,0.153153668,0,0,0,0,0
Primary Al-Air,0.010209891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secondary Li-Ion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.194451413
Secondary Iron-Air,0.127687203,0.154664598,0.154664598,0.154664598,0.154664598,0.154664598,0.154664598,0.154664598,0.154664598,0.154664598,0.154664598,0.154664598,0.154664598,0.154664598,0.157127388,0.175628858,0.175628858,0.187062393,0.308639267,0.441189148,1.292287385,1.283958681,1.79072185,2.194537267,8.58543E-05
Total Capacity,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267,2.194537267
Total Cost,164370.175,172322.7474,180587.5403,188867.2297,197117.0513,205381.919,213646.5622,221903.7946,230235.9606,238441.7781,246737.693,255108.3191,263655.3644,272803.9859,283128.5251,296585.2733,312470.837,328486.1833,359846.9275,384374.8039,541601.8543,537435.5972,820376.7601,1049700.423,4086945.779
