fips_code,county,state,customers_out,run_start_time,Weekend,Season,hour,month,season,outage_id,duration_intervals,duration_minutes
25017,Middlesex,Massachusetts,8.0,2020-01-01 00:00:00,0,3,0,1,Winter,0,183,2745
25017,Middlesex,Massachusetts,1.0,2020-01-02 22:00:00,0,3,22,1,Winter,1,12,180
25017,Middlesex,Massachusetts,48.0,2020-01-03 03:30:00,0,3,3,1,Winter,2,23,345
25017,Middlesex,Massachusetts,285.0,2020-01-03 13:00:00,0,3,13,1,Winter,3,1,15
25017,Middlesex,Massachusetts,1.0,2020-01-03 13:45:00,0,3,13,1,Winter,4,48,720
25017,Middlesex,Massachusetts,1.0,2020-01-04 03:30:00,1,3,3,1,Winter,5,2,30
25017,Middlesex,Massachusetts,90.0,2020-01-04 12:30:00,1,3,12,1,Winter,6,23,345
25017,Middlesex,Massachusetts,1.0,2020-01-04 19:45:00,1,3,19,1,Winter,7,17,255
25017,Middlesex,Massachusetts,117.0,2020-01-05 02:30:00,1,3,2,1,Winter,8,3,45
25017,Middlesex,Massachusetts,1.0,2020-01-05 06:15:00,1,3,6,1,Winter,9,2,30
25017,Middlesex,Massachusetts,2.0,2020-01-05 13:30:00,1,3,13,1,Winter,10,5,75
25017,Middlesex,Massachusetts,6.0,2020-01-05 15:15:00,1,3,15,1,Winter,11,25,375
25017,Middlesex,Massachusetts,2.0,2020-01-05 23:45:00,1,3,23,1,Winter,12,6,90
25017,Middlesex,Massachusetts,1.0,2020-01-06 12:45:00,0,3,12,1,Winter,13,3,45
25017,Middlesex,Massachusetts,7.0,2020-01-06 14:00:00,0,3,14,1,Winter,14,94,1410
25017,Middlesex,Massachusetts,45.0,2020-01-07 14:45:00,0,3,14,1,Winter,15,47,705
25017,Middlesex,Massachusetts,1.0,2020-01-08 03:15:00,0,3,3,1,Winter,16,3,45
25017,Middlesex,Massachusetts,50.0,2020-01-08 15:00:00,0,3,15,1,Winter,17,7,105
25017,Middlesex,Massachusetts,1.0,2020-01-08 17:00:00,0,3,17,1,Winter,18,22,330
25017,Middlesex,Massachusetts,68.0,2020-01-08 23:00:00,0,3,23,1,Winter,19,26,390
25017,Middlesex,Massachusetts,1.0,2020-01-09 06:45:00,0,3,6,1,Winter,20,10,150
25017,Middlesex,Massachusetts,1.0,2020-01-09 09:30:00,0,3,9,1,Winter,21,6,90
25017,Middlesex,Massachusetts,1.0,2020-01-09 12:15:00,0,3,12,1,Winter,22,75,1125
25017,Middlesex,Massachusetts,280.0,2020-01-10 11:30:00,0,3,11,1,Winter,23,11,165
25017,Middlesex,Massachusetts,2.0,2020-01-10 14:30:00,0,3,14,1,Winter,24,10,150
25017,Middlesex,Massachusetts,1.0,2020-01-10 17:15:00,0,3,17,1,Winter,25,1,15
25017,Middlesex,Massachusetts,2.0,2020-01-10 18:00:00,0,3,18,1,Winter,26,4,60
25017,Middlesex,Massachusetts,1.0,2020-01-10 19:30:00,0,3,19,1,Winter,27,2,30
25017,Middlesex,Massachusetts,1.0,2020-01-10 20:15:00,0,3,20,1,Winter,28,1,15
25017,Middlesex,Massachusetts,1.0,2020-01-11 00:45:00,1,3,0,1,Winter,29,1,15
25017,Middlesex,Massachusetts,1.0,2020-01-11 04:30:00,1,3,4,1,Winter,30,8,120
25017,Middlesex,Massachusetts,135.0,2020-01-11 08:45:00,1,3,8,1,Winter,31,9,135
25017,Middlesex,Massachusetts,9.0,2020-01-11 12:30:00,1,3,12,1,Winter,32,143,2145
25017,Middlesex,Massachusetts,1.0,2020-01-13 02:00:00,0,3,2,1,Winter,33,11,165
25017,Middlesex,Massachusetts,1.0,2020-01-13 10:30:00,0,3,10,1,Winter,34,4,60
25017,Middlesex,Massachusetts,3.0,2020-01-13 13:15:00,0,3,13,1,Winter,35,69,1035
25017,Middlesex,Massachusetts,2.0,2020-01-14 09:30:00,0,3,9,1,Winter,36,66,990
25017,Middlesex,Massachusetts,1.0,2020-01-15 05:15:00,0,3,5,1,Winter,37,3,45
25017,Middlesex,Massachusetts,1.0,2020-01-15 12:00:00,0,3,12,1,Winter,38,22,330
25017,Middlesex,Massachusetts,1.0,2020-01-15 20:15:00,0,3,20,1,Winter,39,1,15
25017,Middlesex,Massachusetts,1.0,2020-01-15 22:00:00,0,3,22,1,Winter,40,11,165
25017,Middlesex,Massachusetts,1.0,2020-01-16 04:30:00,0,3,4,1,Winter,41,5,75
25017,Middlesex,Massachusetts,2.0,2020-01-16 08:45:00,0,3,8,1,Winter,42,7,105
25017,Middlesex,Massachusetts,1.0,2020-01-16 14:00:00,0,3,14,1,Winter,43,14,210
25017,Middlesex,Massachusetts,1.0,2020-01-16 18:30:00,0,3,18,1,Winter,44,132,1980
25017,Middlesex,Massachusetts,1.0,2020-01-18 03:45:00,1,3,3,1,Winter,45,1,15
25017,Middlesex,Massachusetts,236.0,2020-01-18 08:00:00,1,3,8,1,Winter,46,6,90
25017,Middlesex,Massachusetts,1.0,2020-01-18 12:30:00,1,3,12,1,Winter,47,7,105
25017,Middlesex,Massachusetts,1.0,2020-01-18 14:45:00,1,3,14,1,Winter,48,5,75
25017,Middlesex,Massachusetts,4.0,2020-01-18 16:45:00,1,3,16,1,Winter,49,1,15
25017,Middlesex,Massachusetts,2.0,2020-01-18 18:45:00,1,3,18,1,Winter,50,1,15
25017,Middlesex,Massachusetts,20.0,2020-01-18 21:00:00,1,3,21,1,Winter,51,14,210
25017,Middlesex,Massachusetts,1.0,2020-01-19 01:30:00,1,3,1,1,Winter,52,4,60
25017,Middlesex,Massachusetts,1.0,2020-01-19 03:00:00,1,3,3,1,Winter,53,12,180
25017,Middlesex,Massachusetts,121.0,2020-01-19 07:00:00,1,3,7,1,Winter,54,24,360
25017,Middlesex,Massachusetts,193.0,2020-01-19 14:00:00,1,3,14,1,Winter,55,10,150
25017,Middlesex,Massachusetts,1.0,2020-01-19 19:15:00,1,3,19,1,Winter,56,4,60
25017,Middlesex,Massachusetts,6.0,2020-01-19 21:30:00,1,3,21,1,Winter,57,25,375
25017,Middlesex,Massachusetts,9.0,2020-01-20 04:00:00,0,3,4,1,Winter,58,10,150
25017,Middlesex,Massachusetts,1.0,2020-01-20 11:45:00,0,3,11,1,Winter,59,11,165
25017,Middlesex,Massachusetts,2.0,2020-01-20 14:45:00,0,3,14,1,Winter,60,14,210
25017,Middlesex,Massachusetts,2.0,2020-01-20 21:30:00,0,3,21,1,Winter,61,1,15
25017,Middlesex,Massachusetts,1.0,2020-01-20 22:30:00,0,3,22,1,Winter,62,4,60
25017,Middlesex,Massachusetts,1.0,2020-01-21 05:00:00,0,3,5,1,Winter,63,2,30
25017,Middlesex,Massachusetts,5.0,2020-01-21 08:00:00,0,3,8,1,Winter,64,74,1110
25017,Middlesex,Massachusetts,1.0,2020-01-22 06:45:00,0,3,6,1,Winter,65,2,30
25017,Middlesex,Massachusetts,1.0,2020-01-22 13:00:00,0,3,13,1,Winter,66,5,75
25017,Middlesex,Massachusetts,5.0,2020-01-22 14:30:00,0,3,14,1,Winter,67,1,15
25017,Middlesex,Massachusetts,1.0,2020-01-22 15:00:00,0,3,15,1,Winter,68,24,360
25017,Middlesex,Massachusetts,1.0,2020-01-22 21:30:00,0,3,21,1,Winter,69,1,15
25017,Middlesex,Massachusetts,352.0,2020-01-22 22:30:00,0,3,22,1,Winter,70,2,30
25017,Middlesex,Massachusetts,1.0,2020-01-22 23:45:00,0,3,23,1,Winter,71,1,15
25017,Middlesex,Massachusetts,33.0,2020-01-23 02:45:00,0,3,2,1,Winter,72,5,75
25017,Middlesex,Massachusetts,,2020-01-23 07:00:00,0,3,7,1,Winter,73,1,15
25017,Middlesex,Massachusetts,,2020-01-23 09:00:00,0,3,9,1,Winter,74,1,15
25017,Middlesex,Massachusetts,1.0,2020-01-23 13:15:00,0,3,13,1,Winter,75,7,105
25017,Middlesex,Massachusetts,1.0,2020-01-23 15:30:00,0,3,15,1,Winter,76,31,465
25017,Middlesex,Massachusetts,1.0,2020-01-23 23:30:00,0,3,23,1,Winter,77,3,45
25017,Middlesex,Massachusetts,1.0,2020-01-24 01:00:00,0,3,1,1,Winter,78,8,120
25017,Middlesex,Massachusetts,1.0,2020-01-24 04:00:00,0,3,4,1,Winter,79,6,90
25017,Middlesex,Massachusetts,13.0,2020-01-24 13:15:00,0,3,13,1,Winter,80,179,2685
25017,Middlesex,Massachusetts,1.0,2020-01-26 11:15:00,1,3,11,1,Winter,81,26,390
25017,Middlesex,Massachusetts,86.0,2020-01-26 18:45:00,1,3,18,1,Winter,82,63,945
25017,Middlesex,Massachusetts,1.0,2020-01-27 15:15:00,0,3,15,1,Winter,83,1,15
25017,Middlesex,Massachusetts,1.0,2020-01-27 15:45:00,0,3,15,1,Winter,84,34,510
25017,Middlesex,Massachusetts,1.0,2020-01-28 01:15:00,0,3,1,1,Winter,85,1,15
25017,Middlesex,Massachusetts,108.0,2020-01-28 07:00:00,0,3,7,1,Winter,86,22,330
25017,Middlesex,Massachusetts,2.0,2020-01-28 14:15:00,0,3,14,1,Winter,87,69,1035
25017,Middlesex,Massachusetts,1.0,2020-01-29 13:15:00,0,3,13,1,Winter,88,3,45
25017,Middlesex,Massachusetts,1.0,2020-01-29 14:30:00,0,3,14,1,Winter,89,23,345
25017,Middlesex,Massachusetts,104.0,2020-01-29 23:00:00,0,3,23,1,Winter,90,18,270
25017,Middlesex,Massachusetts,1.0,2020-01-30 05:45:00,0,3,5,1,Winter,91,1,15
25017,Middlesex,Massachusetts,1.0,2020-01-30 09:00:00,0,3,9,1,Winter,92,15,225
25017,Middlesex,Massachusetts,1.0,2020-01-30 13:00:00,0,3,13,1,Winter,93,15,225
25017,Middlesex,Massachusetts,1.0,2020-01-30 17:15:00,0,3,17,1,Winter,94,11,165
25017,Middlesex,Massachusetts,1.0,2020-01-31 00:30:00,0,3,0,1,Winter,95,30,450
25017,Middlesex,Massachusetts,1.0,2020-01-31 09:00:00,0,3,9,1,Winter,96,9,135
25017,Middlesex,Massachusetts,17.0,2020-01-31 11:45:00,0,3,11,1,Winter,97,71,1065
25017,Middlesex,Massachusetts,48.0,2020-02-01 06:30:00,1,3,6,2,Winter,98,10,150
25017,Middlesex,Massachusetts,1.0,2020-02-01 09:30:00,1,3,9,2,Winter,99,8,120
25017,Middlesex,Massachusetts,13.0,2020-02-01 12:30:00,1,3,12,2,Winter,100,16,240
25017,Middlesex,Massachusetts,1.0,2020-02-01 21:15:00,1,3,21,2,Winter,101,12,180
25017,Middlesex,Massachusetts,1.0,2020-02-02 00:30:00,1,3,0,2,Winter,102,6,90
25017,Middlesex,Massachusetts,1.0,2020-02-02 03:00:00,1,3,3,2,Winter,103,4,60
