Methanol Fuel Cell,Secondary Battery,Primary Battery,Total Demand
1.18,0,0,1.18
1.19,0,0,1.19
1.17,0,0,1.17
1.16,0,0,1.16
1.17,0,0,1.17
1.16,0,0,1.16
1.16,0,0,1.16
1.17,0,0,1.17
1.16,0,0,1.16
1.15,0,0,1.15
1.15,0,0,1.15
1.14,0,0,1.14
1.13,0,0,1.13
1.13,0,0,1.13
1.13,0,0,1.13
1.13,0,0,1.13
1.13,0,0,1.13
1.13,0,0,1.13
1.12,0,0,1.12
1.12,0,0,1.12
1.12,0,0,1.12
1.1,0,0,1.1
1.09,0,0,1.09
1.08,0,0,1.08
1.07,0,0,1.07
1.14,0,0,1.14
1.16,0,0,1.16
1.14,0,0,1.14
1.12,0,0,1.12
1.1,0,0,1.1
1.08,0,0,1.08
1.09,0,0,1.09
1.1,0,0,1.1
1.14,0,0,1.14
1.17,0,0,1.17
1.23,0,0,1.23
1.3,0,0,1.3
1.37,0,0,1.37
1.42,0,0,1.42
1.5,0,0,1.5
1.56,0,0,1.56
1.64,0,0,1.64
1.64,0.07,0,1.71
1.64,0.17,0,1.81
1.64,0.21,0,1.85
1.64,0.28,0,1.92
1.64,0.34,0,1.98
1.64,0.39,0,2.03
1.64,0.44,0,2.08
1.64,0.48,0,2.12
1.64,0.49,0.03,2.16
1.64,0.49,0.05,2.18
1.64,0.49,0.06,2.19
1.64,0.49,0.04,2.17
1.64,0.49,0.01,2.14
1.64,0.45,0,2.09
1.64,0.44,0,2.08
1.64,0.41,0,2.05
1.64,0.4,0,2.04
1.64,0.4,0,2.04
1.64,0.38,0,2.02
1.64,0.31,0,1.95
1.64,0.25,0,1.89
1.64,0.19,0,1.83
1.64,0.14,0,1.78
1.64,0.11,0,1.75
1.64,0.06,0,1.7
1.62,0,0,1.62
1.59,0,0,1.59
1.57,0,0,1.57
1.55,0,0,1.55
1.47,0,0,1.47
1.44,0,0,1.44
1.4,0,0,1.4
1.37,0,0,1.37
1.34,0,0,1.34
1.32,0,0,1.32
1.3,0,0,1.3
1.28,0,0,1.28
1.26,0,0,1.26
1.24,0,0,1.24
1.22,0,0,1.22
1.25,0,0,1.25
1.23,0,0,1.23
1.21,0,0,1.21
1.21,0,0,1.21
1.21,0,0,1.21
1.2,0,0,1.2
1.21,0,0,1.21
1.19,0,0,1.19
1.19,0,0,1.19
1.19,0,0,1.19
1.19,0,0,1.19
1.17,0,0,1.17
1.17,0,0,1.17
1.17,0,0,1.17
1.16,0,0,1.16
1.18,0,0,1.18
1.18,0,0,1.18
1.18,0,0,1.18
